Symbol,Name,Sector,Industry,ISIN,IPO_Date,Market_Cap_Cr,EBITDA_Cr,Revenue_TTM_Cr,Gross_Profit_TTM_Cr,PE_Ratio,PEG_Ratio,Book_Value,EPS,Revenue_Per_Share,Dividend_Share,Dividend_Yield_%,Profit_Margin_%,Operating_Margin_%,ROE_%,ROA_%,BS_Years,BS_Quarters,IS_Years,CF_Years
CELEBRITY,Celebrity Fashions Limited,Consumer Cyclical,Apparel Manufacturing,INE185H01016,None,67.38,-3.83,169.69,96.68,0.0,0.0,3.92,-4.21,0.0,0.0,0.0,-9.68,-13.16,-66.99,-5.57,20,55,20,20
CELLO,Cello World Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",INE0LMW01024,None,13026.7,542.46,2220.66,1176.9,39.61,0.0,98.12,14.89,0.0,0.0,0.0,14.83,19.71,19.3,13.36,5,10,5,5
CENTENKA,Century Enka Limited,Consumer Cyclical,Textile Manufacturing,INE485A01015,None,1055.82,93.8,1875.2,401.27,18.33,0.0,648.75,26.33,0.0,0.0,0.0,3.07,1.54,4.78,2.16,21,55,21,21
CENTEXT,Century Extrusions Limited,Basic Materials,Aluminum,INE281A01026,None,244.44,25.57,433.98,95.54,24.5,0.0,10.37,1.24,0.0,0.0,0.0,2.27,5.52,12.74,8.51,20,55,20,20
CENTRALBK,Central Bank of India,Financial Services,Banks - Regional,INE483A01010,None,33778.61,0.0,16608.38,16608.38,7.66,0.0,42.03,4.86,0.0,0.19,0.5,25.73,38.43,12.16,0.92,23,41,23,22
CENTRUM,Centrum Capital Limited,Financial Services,Financial Conglomerates,INE660C01027,None,1548.31,0.0,912.16,763.89,0.0,0.0,6.71,-2.65,0.0,0.0,0.0,-12.08,-148.02,-8.82,-0.74,20,38,20,20
CENTUM,Centum Electronics Limited,Technology,Electronic Components,INE320B01020,None,3858.42,100.49,1183.31,557.24,315.7,0.0,275.53,8.31,0.0,0.0,0.0,0.91,4.85,-0.65,3.27,20,53,20,20
CENTURYPLY,Century Plyboards (India) Limited,Basic Materials,Lumber & Wood Production,INE348B01021,None,18153.76,512.16,4691.78,2193.93,89.4,0.0,106.37,9.14,0.0,0.0,0.0,4.32,7.82,8.11,5.36,20,37,20,20
CERA,Cera Sanitaryware Limited,Industrials,Building Products & Equipment,INE739E01017,None,7851.79,290.22,1947.63,1008.04,31.98,0.0,1049.49,190.43,0.0,0.0,0.0,12.63,10.8,18.24,8.88,23,72,24,24
CEREBRAINT,Cerebra Integrated Technologies Limited,Technology,Computer Hardware,INE345B01019,None,104.94,-29.61,27.23,7.32,0.0,0.0,14.72,-4.51,0.0,0.0,0.0,-186.31,-244.24,-25.37,-7.13,21,58,21,21
CESC,CESC Limited,Utilities,Utilities - Regulated Electric,INE486A01021,None,21565.71,3352.52,17340.0,6596.0,15.67,0.0,90.47,10.38,0.0,0.0,0.0,7.95,11.55,11.62,2.62,21,48,21,21
CEWATER,CONCORD ENVIRO SYSTEMS L,Utilities,Utilities - Regulated Water,INE037Z01029,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,4,4
CGCL,Capri Global Capital Limited,Financial Services,Credit Services,INE180C01042,None,18121.98,0.0,1911.33,1774.27,27.26,0.0,52.16,6.91,0.0,0.0,0.0,30.23,45.83,11.76,2.66,18,55,18,18
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,INE067A01029,None,117820.65,1312.01,10559.19,3114.69,114.02,0.0,25.14,6.56,0.0,0.0,0.0,9.5,11.73,27.58,11.44,22,56,22,22
CHALET,Chalet Hotels Limited,Consumer Cyclical,Lodging,INE427F01016,None,21179.68,948.47,2255.85,1491.43,74.44,0.0,139.44,13.01,0.0,0.0,0.0,12.64,33.91,5.82,5.52,12,29,12,12
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Basic Materials,Agricultural Inputs,INE085A01013,None,20459.31,2495.97,17410.58,7289.18,11.69,0.0,217.6,43.68,0.0,0.0,0.0,10.05,11.87,20.66,11.75,21,38,21,21
CHEMBOND,Chembond Chemicals Ltd,Basic Materials,Specialty Chemicals,INE995D01025,None,243.68,14.32,213.44,87.47,13.95,0.0,116.12,12.55,0.0,0.0,0.0,7.91,4.83,11.73,3.78,20,55,20,20
CHEMCON,Chemcon Speciality Chemicals Limited,Basic Materials,Specialty Chemicals,INE03YM01018,None,1025.17,33.39,215.4,89.6,39.92,0.0,137.06,6.94,0.0,0.0,0.0,11.83,9.44,5.01,2.54,10,25,10,10
CHEMFAB,Chemfab Alkalis Limited,Basic Materials,Specialty Chemicals,INE783X01023,None,885.27,51.26,349.38,120.48,0.0,0.0,264.55,-3.71,0.0,0.0,0.0,-1.51,5.36,-1.81,0.9,17,55,17,17
CHEMPLASTS,Chemplast Sanmar Limited,Basic Materials,Chemicals,INE488A01050,None,5948.19,145.75,4301.08,1500.04,0.0,0.0,130.82,-12.44,0.0,0.0,0.0,-4.62,-3.29,-5.86,0.55,18,40,18,18
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,INE178A01016,None,11991.83,452.63,57073.27,2464.95,0.0,0.0,551.15,-12.28,0.0,0.0,0.0,-0.32,-0.35,2.52,1.45,21,52,21,21
CHEVIOT,Cheviot Company Limited,Consumer Cyclical,Textile Manufacturing,INE974B01016,None,675.15,64.31,464.43,217.12,11.12,0.0,1114.28,103.19,0.0,0.0,0.0,12.91,15.08,9.05,4.19,20,53,20,20
CHOICEIN,Choice International Limited,Financial Services,Capital Markets,INE102B01014,None,16570.69,0.0,879.64,526.4,92.3,0.0,51.45,8.73,0.0,0.0,0.0,20.31,29.0,18.64,7.35,18,53,18,18
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,INE121A01024,None,137282.66,0.0,11359.18,11348.86,30.91,0.0,281.45,52.78,0.0,0.0,0.0,39.21,52.51,19.71,2.38,21,59,21,21
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,Credit Services,INE149A01033,None,35161.25,7725.82,18846.19,14270.87,15.94,0.0,666.5,117.41,0.0,0.0,0.0,11.69,31.21,19.32,2.36,21,55,21,21
CIEINDIA,CIE Automotive India Limited,Consumer Cyclical,Auto Parts,INE536H01010,None,15584.21,1327.82,8886.21,4129.7,19.91,0.0,182.4,20.63,0.0,0.0,0.0,8.89,11.47,11.93,6.44,20,44,20,20
CIFL,Capital India Finance Limited,Financial Services,Credit Services,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4
CIGNITITEC,Cigniti Technologies Limited,Technology,Information Technology Services,INE675C01017,None,4379.7,332.71,2080.04,872.18,17.22,0.0,349.61,92.82,0.0,0.0,0.0,12.29,15.24,23.53,14.19,19,53,19,19
CINELINE,Cineline India Limited,Communication Services,Entertainment,INE704H01014,None,315.16,44.64,221.72,127.66,0.0,0.0,41.75,-3.63,0.0,0.0,0.0,-5.92,-2.56,-11.71,2.49,20,53,20,20
CINEVISTA,Cinevista Limited,Communication Services,Entertainment,INE039B01026,None,102.92,-15.26,16.15,-9.59,39.64,0.0,8.8,0.45,0.0,0.0,0.0,-179.89,40.95,-47.67,-6.97,21,45,21,21
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,INE059A01026,None,122275.54,7091.39,27479.62,18326.49,22.67,0.0,386.24,66.74,0.0,0.0,0.0,19.62,22.31,18.14,10.93,22,53,22,22
CLEAN,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals,INE227W01023,None,11251.79,395.92,985.5,628.41,41.7,0.0,133.25,25.24,0.0,0.0,0.0,27.25,33.43,20.19,13.26,8,22,8,8
CLEDUCATE,CL Educate Limited,Consumer Defensive,Education & Training Services,INE201M01029,None,486.11,28.97,410.54,107.11,0.0,0.0,46.77,-1.87,0.0,0.0,0.0,-4.72,6.02,-0.71,0.2,16,41,16,16
CLSEL,Chaman Lal Setia Exports Limited,Consumer Defensive,Packaged Foods,INE419D01026,None,1269.0,137.92,1439.68,335.46,12.27,0.0,147.46,20.66,0.0,0.0,0.0,7.08,9.23,14.22,8.76,20,55,20,19
CMICABLES,CMI Limited,Industrials,Electrical Equipment & Parts,INE981B01011,None,5.55,-1.07,29.14,4.76,0.0,0.0,-84.55,-5.19,0.0,0.0,0.0,-28.57,-26.11,-265.53,-1.86,13,49,13,13
CMSINFO,CMS Info Systems Limited,Industrials,Specialty Business Services,INE925R01014,None,6090.42,582.92,2452.5,2222.86,16.0,0.0,138.0,22.5,0.0,0.0,0.0,15.3,18.07,17.68,10.07,12,19,12,12
COALINDIA,Coal India Limited,Energy,Thermal Coal,INE522F01014,None,237080.18,45489.29,125667.76,84912.66,7.15,0.0,160.77,53.77,0.0,32.0,8.38,26.38,31.21,38.47,9.52,20,57,20,20
COASTCORP,Coastal Corporation Limited,Consumer Defensive,Packaged Foods,INE377E01016,None,238.57,36.68,679.06,252.27,32.9,0.0,38.16,1.08,0.0,0.0,0.0,1.06,6.86,1.72,1.64,28,102,28,27
COCHINSHIP,Cochin Shipyard Limited,Industrials,Aerospace & Defense,INE704P01025,None,48401.6,933.97,5117.08,1953.8,57.39,0.0,212.15,32.06,0.0,0.0,0.0,16.43,19.41,15.64,3.81,14,52,14,14
COFFEEDAY,Coffee Day Enterprises Limited,Consumer Cyclical,Restaurants,INE335K01011,None,874.16,144.63,1087.11,542.87,0.0,0.0,122.38,-0.88,0.0,0.0,0.0,-1.69,1.46,-4.71,0.1,15,45,15,15
COFORGE,Coforge Limited,Technology,Information Technology Services,INE591G01017,None,57637.52,1989.8,13382.2,5318.9,61.9,0.0,190.59,27.83,0.0,15.4,0.91,7.45,11.33,15.98,8.51,21,53,21,21
COHANCE,COHANCE,Healthcare,Drug Manufacturers - Specialty & Generic,None,None,40081.54,433.76,1256.14,950.85,99.97,0.0,66.64,10.48,0.0,0.0,0.0,21.33,11.64,13.61,8.43,7,27,7,7
COLPAL,Colgate Palmolive (India) Limited,Consumer Defensive,Household & Personal Products,INE259A01022,None,60690.87,1891.75,5977.52,4097.25,43.53,0.0,61.2,51.26,0.0,0.0,0.0,23.31,28.94,81.2,36.21,28,55,28,28
COMPINFO,Compuage Infocom Limited,Technology,Electronics & Computer Distribution,INE070C01037,None,14.84,-53.19,24.93,-33.84,0.0,0.0,-33.54,-43.7,0.0,0.0,0.0,0.0,-35.3,-54.28,-4.32,19,42,19,19
COMPUSOFT,Compucom Software Limited,Consumer Defensive,Education & Training Services,INE453B01029,None,153.66,7.25,35.07,21.9,42.22,0.0,18.18,0.46,0.0,0.0,0.0,10.22,9.69,1.05,-0.07,20,43,20,20
COMSYN,COMMERCIAL SYN BAGS ORD (BSE),Consumer Cyclical,Packaging & Containers,INE073V01015,None,615.59,39.66,361.44,169.17,30.01,0.0,37.56,5.13,0.0,0.0,0.0,5.74,9.17,0.0,0.0,15,41,15,15
CONCOR,Container Corporation of India Limited,Industrials,Railroads,INE111A01025,None,40575.2,1951.33,8937.52,3405.89,31.36,0.0,162.55,16.99,0.0,9.2,1.73,14.51,12.59,10.58,5.91,22,37,22,22
CONCORDBIO,Concord Biotech Limited,Healthcare,Biotechnology,INE338H01029,None,17046.17,482.48,1188.27,771.47,47.92,0.0,173.28,34.0,0.0,0.0,0.0,29.97,21.38,22.26,15.13,6,13,6,6
CONFIPET,Confidence Petroleum India Limited,Energy,Oil & Gas Refining & Marketing,INE552D01024,None,1495.08,346.08,3479.82,693.5,16.42,0.0,40.2,2.74,0.0,0.0,0.0,2.63,3.74,6.69,3.93,21,65,21,16
CONSOFINVT,Consolidated Finvest & Holdings Limited,Financial Services,Capital Markets,INE025A01027,None,591.38,68.19,68.7,68.69,6.03,0.0,317.83,30.32,0.0,0.0,0.0,142.62,99.13,11.8,4.32,20,38,20,20
CONTROLPR,Control Print Limited,Industrials,Business Equipment & Supplies,INE663B01015,None,1263.88,75.19,438.64,237.52,13.01,0.0,257.92,60.66,0.0,0.0,0.0,22.11,12.74,26.8,8.5,20,40,20,20
CORALFINAC,Coral India Finance & Housing Limited,Real Estate,Real Estate Services,INE558D01021,None,179.95,18.52,22.68,22.43,11.88,0.0,54.58,3.76,0.0,0.0,0.0,66.82,87.98,8.65,6.2,20,57,20,20
CORDSCABLE,Cords Cable Industries Limited,Industrials,Electrical Equipment & Parts,INE792I01017,None,235.36,52.48,847.3,160.98,15.02,0.0,138.19,12.12,0.0,0.0,0.0,1.85,4.94,8.34,6.54,21,55,21,21
COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs,INE169A01031,None,67466.4,2900.31,26398.71,6658.99,29.86,0.0,376.7,76.63,0.0,0.0,0.0,8.56,9.39,19.88,8.72,21,55,21,21
COSMOFIRST,COSMO FIRST LIMITED,Consumer Cyclical,Packaging & Containers,INE757A01017,None,2300.38,293.3,3005.46,1066.11,16.09,0.0,558.65,55.37,0.0,0.0,0.0,4.83,7.71,9.48,3.08,21,53,21,21
COUNCODOS,Country Condo's Limited,Real Estate,Real Estate - Development,INE695B01025,None,52.53,0.89,16.05,11.24,84.25,0.0,2.83,0.08,0.0,0.0,0.0,3.38,5.11,2.41,1.42,20,55,20,18
CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,Auto Parts,INE00LO01017,None,16042.05,865.15,6323.29,2747.75,75.05,0.0,1197.51,88.26,0.0,0.0,0.0,3.34,9.14,8.72,5.16,13,23,13,13
CREATIVE,Creative Newtech Limited,Technology,Electronics & Computer Distribution,INE985W01018,None,985.42,65.3,1866.4,1782.38,20.06,0.0,195.79,32.41,0.0,0.0,0.0,2.89,2.96,24.33,8.43,14,37,14,14
CREATIVEYE,Creative Eye Limited,Communication Services,Entertainment,INE230B01021,None,15.09,0.09,2.45,0.91,0.0,0.0,9.54,-0.42,0.0,0.0,0.0,-33.58,-321.41,-3.53,0.41,20,56,20,20
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Financial Services,Credit Services,INE741K01010,None,22348.83,0.0,1461.6,1406.98,114.95,0.0,435.51,12.11,0.0,0.0,0.0,13.27,19.8,2.87,1.88,13,51,13,13
CREST,Crest Ventures Limited,Financial Services,Financial Conglomerates,INE559D01011,None,995.91,114.87,190.24,161.81,15.55,0.0,423.27,22.72,0.0,0.0,0.0,33.99,66.23,7.66,6.08,20,53,20,20
CRISIL,CRISIL Limited,Financial Services,Financial Data & Stock Exchanges,INE007A01025,None,34484.46,953.66,3380.95,1597.08,47.39,0.0,385.13,99.5,0.0,58.0,1.26,21.52,24.56,28.74,14.58,21,57,21,21
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",INE299U01018,None,18512.55,790.95,7724.2,2544.27,35.15,0.0,52.66,8.18,0.0,0.0,0.0,6.82,7.62,15.46,7.41,11,41,11,11
CROWN,Crown Lifters Limited,Industrials,Rental & Leasing Services,INE491V01019,None,181.87,21.84,37.47,27.83,16.92,0.0,55.09,9.47,0.0,0.0,0.0,28.91,41.81,38.78,6.3,14,32,14,14
CSBBANK,CSB Bank Limited,Financial Services,Banks - Regional,INE679A01013,None,6625.41,0.0,2387.1,2387.1,11.26,0.0,259.26,34.55,0.0,0.0,0.0,25.1,28.32,14.31,1.42,16,45,16,16
CSLFINANCE,CSL Finance Limited,Financial Services,Credit Services,INE718F01018,None,645.39,169.93,224.28,213.06,8.82,0.0,237.48,32.55,0.0,0.0,0.0,33.41,76.87,14.19,9.07,18,56,18,18
CTE,Cambridge Technology Enterprises Limited,Technology,Information Technology Services,INE627H01017,None,76.41,-16.83,195.43,18.9,0.0,0.0,34.56,-19.88,0.0,0.0,0.0,-19.97,-0.7,-53.28,-11.19,21,55,21,21
CUB,City Union Bank Limited,Financial Services,Banks - Regional,INE491A01021,None,16280.84,0.0,3052.64,3052.64,14.05,0.0,127.76,15.64,0.0,2.0,0.91,38.17,47.67,13.04,1.51,21,55,21,21
CUBEXTUB,Cubex Tubings Limited,Basic Materials,Copper,INE144D01012,None,141.83,10.56,262.07,25.67,20.34,0.0,52.99,4.87,0.0,0.0,0.0,2.66,4.22,9.18,4.33,20,58,20,20
CUMMINSIND,Cummins India Limited,Industrials,Specialty Industrial Machinery,INE298A01020,None,109986.09,2467.95,10981.95,3935.36,51.34,0.0,272.78,77.28,0.0,0.0,0.0,19.5,24.41,28.22,13.84,21,47,21,21
CUPID,Cupid Limited,Consumer Defensive,Household & Personal Products,INE509F01029,None,5771.51,51.45,204.19,126.49,122.15,0.0,12.78,1.76,0.0,0.0,0.0,23.33,25.47,12.71,6.73,20,57,20,20
CYBERMEDIA,Cyber Media (India) Limited,Communication Services,Publishing,INE278G01037,None,33.57,1.5,91.91,18.78,0.0,0.0,-10.45,-6.0,0.0,0.0,0.0,-10.84,5.0,129.0,0.01,20,55,20,20
CYBERTECH,Cybertech Systems And Software Limited,Technology,Information Technology Services,INE214A01019,None,635.02,30.33,236.21,51.3,17.72,0.0,79.49,11.47,0.0,0.0,0.0,15.13,7.15,15.01,5.84,21,55,21,20
CYIENT,Cyient Limited,Industrials,Conglomerates,INE136B01020,None,13007.01,894.47,7396.5,2288.9,20.89,93.13,482.01,56.43,0.0,0.0,0.0,8.46,9.51,12.57,7.45,21,55,21,21
CYIENTDLM,Cyient DLM Limited,Technology,Electronic Components,INE055S01018,None,3538.06,139.74,1540.17,447.52,54.63,0.0,119.72,8.16,0.0,0.0,0.0,4.22,5.22,7.33,4.21,7,17,7,7
DABUR,Dabur India Limited,Consumer Defensive,Household & Personal Products,INE016A01026,None,87318.75,2303.11,12618.56,5951.62,49.13,0.0,60.94,10.02,0.0,0.0,0.0,14.12,16.26,16.18,7.55,22,55,22,22
DALBHARAT,Dalmia Bharat Limited,Basic Materials,Building Materials,INE00R701025,None,42361.13,2643.0,13995.0,8571.0,45.2,0.0,926.29,49.8,0.0,0.0,0.0,6.68,15.43,4.11,2.62,17,37,17,16
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Consumer Defensive,Confectioners,INE495A01022,None,2976.14,477.47,3728.39,924.57,8.04,0.0,399.62,45.74,0.0,0.0,0.0,9.93,5.68,12.54,4.71,21,43,21,21
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,Financial Services,Capital Markets,INE284H01025,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,4,4
DAMODARIND,Damodar Industries Limited,Consumer Cyclical,Textile Manufacturing,INE497D01022,None,80.35,33.07,405.48,90.55,8.44,0.0,61.79,3.97,0.0,0.0,0.0,2.28,3.23,4.09,1.04,18,55,18,18
DANGEE,Dangee Dums Limited,Consumer Cyclical,Restaurants,INE688Y01022,None,64.52,5.5,27.09,12.68,0.0,0.0,0.95,-0.04,0.0,0.0,0.0,-2.76,-1.65,-3.25,0.55,12,29,12,12
DATAMATICS,Datamatics Global Services Limited,Technology,Information Technology Services,INE365B01017,None,5144.32,250.23,1796.93,634.98,24.26,0.0,231.18,35.87,0.0,0.0,0.0,11.79,12.07,15.95,6.44,21,56,21,21
DATAPATTNS,Data Patterns (India) Limited,Industrials,Aerospace & Defense,INE0IX101010,None,15906.72,265.22,703.6,427.93,73.53,0.0,269.4,38.38,0.0,7.9,0.28,30.49,26.77,15.15,9.24,7,21,7,7
DAVANGERE,Davangere Sugar Company Limited,Consumer Defensive,Confectioners,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,33,12,12
DBCORP,D.B.Corp Limited,Communication Services,Publishing,INE950I01011,None,4777.7,499.95,2308.71,1215.28,14.3,0.0,124.55,18.74,0.0,10.0,3.77,14.47,15.43,16.69,9.12,20,60,20,20
DBL,Dilip Buildcon Limited,Industrials,Engineering & Construction,INE917M01012,None,8382.97,2198.43,10802.91,2769.31,8.68,0.0,560.87,59.47,0.0,0.0,0.0,6.95,16.89,17.45,6.2,16,34,16,16
DBOL,Dhampur Bio Organics Limited,Consumer Defensive,Farm Products,INE0I3401014,None,551.42,100.54,1939.76,421.17,0.0,0.0,152.4,-1.12,0.0,0.0,0.0,-0.38,-2.08,1.45,2.19,5,17,5,5
DBREALTY,Valor Estate Limited,Real Estate,Real Estate - Development,INE879I01012,None,8601.93,-102.69,1966.61,136.89,0.0,0.0,83.03,-1.92,0.0,0.0,0.0,-5.06,-2.42,-2.35,-1.06,18,49,18,18
DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services,Capital Markets,INE921B01025,None,90.09,0.0,34.82,16.69,18.65,0.0,20.38,1.38,0.0,0.0,0.0,13.88,19.81,8.37,4.82,19,55,19,19
DCAL,Dishman Carbogen Amcis Limited,Healthcare,Biotechnology,INE385W01011,None,4637.75,591.54,2895.77,2359.39,44.44,0.0,372.17,6.65,0.0,0.0,0.0,3.6,8.38,0.06,1.12,21,55,21,21
DCBBANK,DCB Bank Limited,Financial Services,Banks - Regional,INE503A01015,None,4162.59,0.0,2738.92,2738.92,6.51,0.0,181.07,20.3,0.0,0.0,0.0,23.41,30.19,11.44,0.88,21,55,21,21
DCI,Dc Infotech And Communication Limited,Technology,Electronics & Computer Distribution,INE0A1101019,None,409.54,27.34,585.33,48.01,24.67,0.0,50.91,10.09,0.0,0.0,0.0,2.65,4.31,23.62,7.03,9,25,9,9
DCM,DCM  Limited,Industrials,Metal Fabrication,INE498A01018,None,181.87,3.35,68.21,68.21,7.15,0.0,22.83,13.62,0.0,0.0,0.0,37.31,1.7,68.83,-0.61,19,53,19,19
DCMFINSERV,DCM Financial Services Limited,Financial Services,Credit Services,INE891B01012,None,12.66,0.0,0.52,0.52,0.0,0.0,-22.7,-0.63,0.0,0.0,0.0,-263.64,-144.52,0.0,-5.26,17,48,17,17
DCMNVL,DCM Nouvelle Limited,Consumer Cyclical,Textile Manufacturing,INE08KP01019,None,298.84,58.97,1059.63,267.82,21.1,0.0,166.98,7.49,0.0,0.0,0.0,1.29,3.32,1.84,2.45,9,32,9,9
DCMSHRIRAM,DCM Shriram Limited,Industrials,Conglomerates,INE499A01024,None,18418.72,1383.18,12462.81,4119.17,30.04,0.0,438.19,39.62,0.0,0.0,0.0,4.95,5.89,8.94,4.74,21,54,21,21
DCMSRIND,DCM Shriram Industries Limited,Consumer Defensive,Confectioners,INE843D01027,None,1534.98,177.35,1996.25,721.03,17.32,0.0,103.34,10.0,0.0,0.0,0.0,4.36,6.69,11.84,4.47,20,42,20,20
DCW,DCW Limited,Basic Materials,Chemicals,INE500A01029,None,2037.45,203.64,1976.32,607.56,57.96,0.0,35.39,1.19,0.0,0.0,0.0,1.77,6.04,2.93,2.74,19,51,19,19
DCXINDIA,DCX Systems Limited,Industrials,Aerospace & Defense,INE0KL801015,None,2721.84,15.27,1167.75,60.88,67.88,0.0,123.56,3.6,0.0,0.0,0.0,3.43,0.44,3.11,-0.29,8,17,8,8
DDEVPLSTIK,Ddev Plastiks Industries Limited,Basic Materials,Specialty Chemicals,None,None,2845.62,269.0,2603.32,476.22,15.34,0.0,80.68,17.93,0.0,0.0,0.0,7.13,9.78,24.82,14.77,4,4,4,4
DECCANCE,Deccan Cements Limited,Basic Materials,Building Materials,INE583C01021,None,1459.58,52.58,505.38,244.72,72.56,0.0,516.1,14.36,0.0,0.0,0.0,3.97,14.08,1.04,0.3,20,55,20,20
DEEDEV,DEE Development Eng Ltd,Industrials,Metal Fabrication,INE841L01016,None,1915.89,136.96,866.15,574.63,34.82,0.0,115.86,7.96,0.0,0.0,0.0,6.19,10.34,6.97,3.32,4,3,4,4
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Basic Materials,Chemicals,INE501A01019,None,19489.22,1992.33,10651.84,3655.36,19.86,0.0,494.0,77.74,0.0,0.0,0.0,9.21,15.4,16.15,7.61,21,37,21,21
DEEPAKNTR,Deepak Nitrite Limited,Basic Materials,Chemicals,INE288B01029,None,24578.03,977.64,8004.97,1818.14,40.55,0.0,395.08,44.44,0.0,7.5,0.41,7.58,7.32,11.85,8.2,21,43,21,19
DEEPINDS,Deep Industries Limited,Energy,Oil & Gas E&P,INE0FHS01024,None,3204.8,261.02,652.17,373.1,0.0,0.0,284.28,-10.66,0.0,0.0,0.0,-10.48,34.36,-4.58,5.53,8,22,8,8
DELHIVERY,Delhivery Limited,Industrials,Integrated Freight & Logistics,INE148O01028,None,34851.97,49.3,9053.6,7657.87,177.3,0.0,126.1,2.63,0.0,0.0,0.0,2.2,0.06,1.75,-0.85,9,18,7,7
DELPHIFX,DELPHI WORLD MONEY LIMITED,Financial Services,Capital Markets,INE726L01019,None,267.07,20.65,1575.09,43.14,91.57,0.0,200.9,2.62,0.0,0.0,0.0,0.18,1.92,0.88,3.7,19,47,19,17
DELTACORP,Delta Corp Limited,Consumer Cyclical,Resorts & Casinos,INE124G01033,None,2141.09,187.19,735.79,401.38,6.86,0.0,99.58,11.65,0.0,0.0,0.0,34.9,14.62,12.25,2.95,20,56,20,19
DELTAMAGNT,Delta Manufacturing Limited,Industrials,Specialty Industrial Machinery,INE393A01011,None,82.37,-0.72,59.53,28.67,0.0,0.0,13.3,-7.26,0.0,0.0,0.0,-19.09,-6.47,-40.06,-4.54,18,55,18,18
DEN,Den Networks Limited,Communication Services,Entertainment,INE947J01015,None,1642.94,115.76,999.15,406.54,7.85,0.0,75.67,4.39,0.0,0.0,0.0,20.89,-1.4,5.41,0.1,17,55,17,17
DENORA,De Nora India Limited,Industrials,Electrical Equipment & Parts,INE244A01016,None,439.34,-1.81,97.79,49.64,211.08,0.0,226.22,3.92,0.0,0.0,0.0,2.11,4.73,1.41,5.25,20,55,20,20
DEVIT,Dev Information Technology Limited,Technology,Information Technology Services,INE060X01026,None,232.66,8.79,178.19,17.43,17.28,0.0,12.1,2.39,0.0,0.0,0.0,7.55,6.61,23.27,4.27,13,35,13,13
DEVYANI,Devyani International Limited,Consumer Cyclical,Restaurants,INE872J01023,None,20225.27,597.39,5086.12,2594.56,0.0,0.0,9.07,-0.13,0.0,0.0,0.0,-0.34,4.07,-0.5,3.31,9,26,9,9
DGCONTENT,Digicontent Limited,Communication Services,Internet Content & Information,INE03JI01017,None,201.98,55.47,449.03,226.15,9.32,0.0,4.7,3.66,0.0,0.0,0.0,4.74,0.34,170.72,12.57,8,29,8,8
DHAMPURSUG,Dhampur Sugar Mills Limited,Consumer Defensive,Confectioners,INE041A01016,None,893.99,164.06,1978.72,415.2,17.66,0.0,176.25,7.87,0.0,0.0,0.0,2.6,3.22,4.65,2.87,21,53,21,21
DHANBANK,Dhanlaxmi Bank Limited,Financial Services,Banks - Regional,INE680A01011,None,1025.82,0.0,659.03,659.03,8.69,0.0,35.76,2.99,0.0,0.0,0.0,13.17,7.74,7.13,0.39,21,55,21,21
DHANI,Dhani Services Limited,Financial Services,Credit Services,INE274G01010,None,3919.71,0.0,338.17,325.21,103.71,0.0,49.76,0.59,0.0,0.0,0.0,10.03,5.21,-2.14,-1.64,21,57,21,21
DHANUKA,Dhanuka Agritech Limited,Basic Materials,Agricultural Inputs,INE435G01025,None,6809.98,418.13,2069.86,835.37,22.51,0.0,311.17,67.1,0.0,0.0,0.0,14.67,12.84,22.34,13.4,21,53,21,21
DHARMAJ,Dharmaj Crop Guard Limited,Basic Materials,Agricultural Inputs,INE00OQ01016,None,1058.7,101.62,1063.15,237.49,19.8,0.0,117.33,15.47,0.0,0.0,0.0,4.92,12.54,9.24,5.45,8,16,8,8
DHARSUGAR,Dharani Sugars&Chemicals Limited,Consumer Defensive,Confectioners,INE988C01014,None,28.65,-9.1,0.82,0.97,0.0,0.0,-59.37,-9.44,0.0,0.0,0.0,0.0,-900.72,0.0,-3.72,20,53,20,20
